State/UT,Dowry Deaths ,Murder with Rape,Acid Attack ,Cruelty by Husband or his relatives,Kidnapping & Abduction,Procuration of Minor Girls ,Sexual Assault of Children ,year,Total crimes
Himachal Pradesh,0,15,1,25,43,1,0,2014,85
Himachal Pradesh,0,23,2,9,19,1,0,2014,54
Himachal Pradesh,0,1,0,0,0,1,0,2014,2
Himachal Pradesh,0,0,0,0,0,1,0,2014,1
Himachal Pradesh,0,13,0,27,13,1,0,2014,54
Himachal Pradesh,0,43,1,46,26,1,0,2014,117
Himachal Pradesh,0,10,2,3,3,1,0,2014,19
Himachal Pradesh,0,16,5,21,4,1,0,2014,47
Himachal Pradesh,0,0,7,0,1,1,0,2014,9
Himachal Pradesh,0,47,1,50,33,1,0,2014,132
Himachal Pradesh,0,39,2,27,32,1,0,2014,101
Himachal Pradesh,0,28,0,24,15,1,0,2014,68
Himachal Pradesh,0,16,0,12,18,1,0,2014,47
Himachal Pradesh,1,23,2,62,10,1,0,2014,99
Himachal Pradesh,1,283,4,325,227,1,0,2014,841
Jammu & Kashmir,0,19,5,9,62,1,0,2014,96
Jammu & Kashmir,0,6,9,1,19,1,0,2014,36
Jammu & Kashmir,0,4,0,4,37,1,0,2014,46
Jammu & Kashmir,0,10,1,11,54,1,0,2014,77
Jammu & Kashmir,0,9,3,3,46,1,0,2014,62
Jammu & Kashmir,0,0,2,0,0,1,0,2014,3
Jammu & Kashmir,0,1,1,0,0,1,0,2014,3
Jammu & Kashmir,0,23,6,14,16,1,0,2014,60
Jammu & Kashmir,0,0,0,3,20,1,0,2014,24
Jammu & Kashmir,0,3,2,2,24,1,0,2014,32
Jammu & Kashmir,4,68,4,159,60,1,0,2014,296
Jammu & Kashmir,0,2,5,0,2,1,0,2014,10
Jammu & Kashmir,1,18,9,21,33,1,0,2014,83
Jammu & Kashmir,0,6,0,9,18,1,0,2014,34
Jammu & Kashmir,0,7,1,0,39,1,0,2014,48
Jammu & Kashmir,0,8,3,8,42,1,0,2014,62
Jammu & Kashmir,0,6,2,0,1,1,0,2014,10
Jammu & Kashmir,0,13,1,25,36,1,0,2014,76
Jammu & Kashmir,0,7,6,1,20,1,0,2014,35
Jammu & Kashmir,0,0,0,0,0,1,0,2014,1
Jammu & Kashmir,0,0,2,0,0,1,0,2014,3
Jammu & Kashmir,0,0,4,0,0,1,0,2014,5
Jammu & Kashmir,0,39,5,71,60,1,0,2014,176
Jammu & Kashmir,0,8,9,12,23,1,0,2014,53
Jammu & Kashmir,0,16,0,16,26,1,0,2014,59
Jammu & Kashmir,0,7,1,8,12,1,0,2014,29
Jammu & Kashmir,0,1,3,2,37,1,0,2014,44
Jammu & Kashmir,0,8,2,7,40,1,0,2014,58
Jammu & Kashmir,0,12,1,63,68,1,0,2014,145
Jammu & Kashmir,0,30,6,18,18,1,0,2014,73
Jammu & Kashmir,5,331,0,467,813,1,0,2014,1617
Jharkhand,18,63,2,187,97,1,0,2014,368
Jharkhand,2,54,4,19,22,1,0,2014,102
Jharkhand,62,18,5,24,31,1,0,2014,141
Jharkhand,28,25,9,138,63,1,0,2014,264
Jharkhand,28,54,0,99,148,1,0,2014,330
Jharkhand,2,0,1,0,4,1,0,2014,8
Jharkhand,11,39,3,55,16,1,0,2014,125
Jharkhand,25,50,2,45,82,1,0,2014,205
Jharkhand,40,58,1,176,0,1,0,2014,276
Jharkhand,3,34,6,57,17,1,0,2014,118
Jharkhand,1,67,0,24,40,1,0,2014,133
Jharkhand,23,52,2,37,26,1,0,2014,141
Jharkhand,13,55,4,110,70,1,0,2014,253
Jharkhand,0,0,5,0,3,1,0,2014,9
Jharkhand,10,27,9,70,24,1,0,2014,141
Jharkhand,2,7,0,11,8,1,0,2014,29
Jharkhand,16,15,1,39,15,1,0,2014,87
Jharkhand,8,25,3,17,11,1,0,2014,65
Jharkhand,2,43,2,24,19,1,0,2014,91
Jharkhand,1,55,1,91,11,1,0,2014,160
Jharkhand,19,44,6,42,23,1,0,2014,135
Jharkhand,11,48,0,34,29,1,0,2014,123
Jharkhand,13,75,2,48,76,1,0,2014,215
Jharkhand,4,87,4,75,40,1,0,2014,211
Jharkhand,7,31,5,27,7,1,0,2014,78
Jharkhand,1,24,9,13,3,1,0,2014,51
Jharkhand,350,1050,0,1462,885,1,0,2014,3748
Karnataka,4,22,1,53,17,1,0,2014,98
Karnataka,57,104,3,490,618,1,0,2014,1273
Karnataka,22,60,2,97,69,1,0,2014,251
Karnataka,4,59,1,162,23,1,0,2014,250
Karnataka,12,48,6,72,13,1,0,2014,152
Karnataka,10,33,2,106,42,1,0,2014,194
Karnataka,7,45,0,122,14,1,0,2014,189
Karnataka,10,36,3,26,13,1,0,2014,89
Karnataka,5,11,4,15,18,1,0,2014,54
Karnataka,5,30,0,110,8,1,0,2014,154
Karnataka,17,24,0,77,24,1,0,2014,143
Karnataka,1,40,4,32,6,1,0,2014,84
Karnataka,9,40,4,87,53,1,0,2014,194
Karnataka,3,23,2,15,6,1,0,2014,50
Karnataka,2,15,1,22,9,1,0,2014,50
Karnataka,14,53,0,127,37,1,0,2014,232
Karnataka,11,63,2,103,43,1,0,2014,223
Karnataka,10,40,9,44,12,1,0,2014,116
Karnataka,7,21,2,39,28,1,0,2014,98
Karnataka,1,20,0,14,8,1,0,2014,44
Karnataka,1,25,3,40,6,1,0,2014,76
Karnataka,8,32,4,21,6,1,0,2014,72
Karnataka,4,28,0,50,31,1,0,2014,114
Karnataka,11,36,0,143,61,1,0,2014,252
Karnataka,1,25,4,56,10,1,0,2014,97
Karnataka,3,41,4,51,23,1,0,2014,123
Karnataka,20,41,2,107,49,1,0,2014,220
Karnataka,5,55,1,134,30,1,0,2014,226
Karnataka,1,1,0,2,0,1,0,2014,5
Karnataka,12,43,2,60,45,1,0,2014,163
Karnataka,8,58,9,228,47,1,0,2014,351
Karnataka,15,36,2,87,27,1,0,2014,168
Karnataka,3,28,0,57,2,1,0,2014,91
Karnataka,0,25,3,56,22,1,0,2014,107
Karnataka,2,41,4,48,21,1,0,2014,117
Karnataka,8,22,0,72,16,1,0,2014,119
Karnataka,313,1324,0,3025,1457,1,0,2014,6120
Kerala,0,61,4,261,7,1,0,2014,334
Kerala,0,64,4,166,1,1,0,2014,236
Kerala,0,71,2,169,6,1,0,2014,249
Kerala,2,71,1,160,7,1,0,2014,242
Kerala,1,59,0,330,6,1,0,2014,397
Kerala,0,59,2,210,7,1,0,2014,279
Kerala,1,78,9,296,8,1,0,2014,393
Kerala,2,81,2,276,15,1,0,2014,377
Kerala,0,75,0,182,9,1,0,2014,267
Kerala,1,35,3,184,2,1,0,2014,226
Kerala,0,52,4,307,7,1,0,2014,371
Kerala,1,103,0,590,3,1,0,2014,698
Kerala,7,88,0,450,14,1,0,2014,560
Kerala,0,63,4,118,11,1,0,2014,197
Kerala,0,0,4,0,1,1,0,2014,6
Kerala,0,38,2,130,0,1,0,2014,171
Kerala,2,94,1,468,9,1,0,2014,575
Kerala,2,56,0,134,8,1,0,2014,201
Kerala,6,122,2,387,11,1,0,2014,529
Kerala,0,75,9,99,11,1,0,2014,195
Kerala,3,2,2,2,0,1,0,2014,10
Kerala,28,1347,0,4919,143,1,0,2014,6438
Madhya Pradesh,2,28,3,44,12,1,0,2014,90
Madhya Pradesh,0,17,4,10,15,1,0,2014,47
Madhya Pradesh,7,70,0,114,83,1,0,2014,275
Madhya Pradesh,12,76,0,82,38,1,0,2014,209
Madhya Pradesh,12,131,4,107,155,1,0,2014,410
Madhya Pradesh,4,68,4,16,23,1,0,2014,116
Madhya Pradesh,9,164,2,379,152,1,0,2014,707
Madhya Pradesh,30,78,1,86,106,1,0,2014,302
Madhya Pradesh,20,223,0,348,294,1,0,2014,886
Madhya Pradesh,0,3,2,4,14,1,0,2014,24
Madhya Pradesh,5,46,9,48,17,1,0,2014,126
Madhya Pradesh,22,78,2,74,147,1,0,2014,324
Madhya Pradesh,9,205,0,185,213,1,0,2014,613
Madhya Pradesh,31,46,3,68,97,1,0,2014,246
Madhya Pradesh,14,34,4,57,53,1,0,2014,163
Madhya Pradesh,10,121,0,145,73,1,0,2014,350
Madhya Pradesh,15,138,0,85,265,1,0,2014,504
Madhya Pradesh,4,91,4,119,57,1,0,2014,276
Madhya Pradesh,12,123,4,92,93,1,0,2014,325
Madhya Pradesh,36,158,2,441,146,1,0,2014,784
Madhya Pradesh,5,47,1,28,68,1,0,2014,150
Madhya Pradesh,6,102,0,121,80,1,0,2014,310
Madhya Pradesh,37,261,2,254,340,1,0,2014,895
Madhya Pradesh,0,4,9,0,2,1,0,2014,16
Madhya Pradesh,34,194,2,315,304,1,0,2014,850
Madhya Pradesh,0,4,0,0,6,1,0,2014,11
Madhya Pradesh,0,52,3,22,87,1,0,2014,165
Madhya Pradesh,18,93,4,65,114,1,0,2014,295
Madhya Pradesh,6,84,0,103,101,1,0,2014,295
Madhya Pradesh,43,118,0,74,116,1,0,2014,352
Madhya Pradesh,6,64,4,76,131,1,0,2014,282
Madhya Pradesh,5,90,4,180,86,1,0,2014,366
Madhya Pradesh,30,43,2,192,85,1,0,2014,353
Madhya Pradesh,20,113,1,145,53,1,0,2014,333
Madhya Pradesh,3,47,0,43,27,1,0,2014,121
Madhya Pradesh,10,41,2,38,125,1,0,2014,217
Madhya Pradesh,5,161,9,76,69,1,0,2014,321
Madhya Pradesh,5,94,2,134,97,1,0,2014,333
Madhya Pradesh,5,69,0,129,133,1,0,2014,337
Madhya Pradesh,36,110,3,90,202,1,0,2014,442
Madhya Pradesh,35,126,4,175,170,1,0,2014,511
Madhya Pradesh,30,187,0,116,248,1,0,2014,582
Madhya Pradesh,9,83,0,47,121,1,0,2014,261
Madhya Pradesh,16,122,4,336,121,1,0,2014,600
Madhya Pradesh,7,68,4,130,31,1,0,2014,241
Madhya Pradesh,5,23,2,37,22,1,0,2014,90
Madhya Pradesh,11,101,1,111,123,1,0,2014,348
Madhya Pradesh,14,40,0,68,72,1,0,2014,195
Madhya Pradesh,12,124,2,158,114,1,0,2014,411
Madhya Pradesh,17,88,9,105,94,1,0,2014,314
Madhya Pradesh,15,92,2,42,65,1,0,2014,217
Madhya Pradesh,11,126,0,285,96,1,0,2014,519
Madhya Pradesh,2,51,3,90,42,1,0,2014,189
Madhya Pradesh,21,156,4,162,90,1,0,2014,434
Madhya Pradesh,0,0,0,0,0,1,0,2014,1
Madhya Pradesh,733,5076,0,6451,5688,1,0,2014,17949
Maharashtra,13,103,4,264,85,1,0,2014,470
Maharashtra,5,52,4,136,32,1,0,2014,230
Maharashtra,1,27,2,108,24,1,0,2014,163
Maharashtra,8,103,1,213,59,1,0,2014,385
Maharashtra,2,27,0,164,38,1,0,2014,232
Maharashtra,7,31,2,218,25,1,0,2014,284
Maharashtra,3,70,9,316,49,1,0,2014,448
Maharashtra,3,28,2,40,18,1,0,2014,92
Maharashtra,22,57,0,152,33,1,0,2014,265
Maharashtra,2,99,3,203,39,1,0,2014,347
Maharashtra,11,35,4,207,40,1,0,2014,298
Maharashtra,0,22,0,16,6,1,0,2014,45
Maharashtra,6,58,0,46,19,1,0,2014,130
Maharashtra,4,24,4,83,16,1,0,2014,132
Maharashtra,1,66,4,374,76,1,0,2014,522
Maharashtra,13,33,2,289,31,1,0,2014,369
Maharashtra,8,84,1,150,47,1,0,2014,291
Maharashtra,4,57,0,323,84,1,0,2014,469
Maharashtra,22,607,2,563,280,1,0,2014,1475
Maharashtra,0,1,9,0,10,1,0,2014,21
Maharashtra,10,113,5,234,89,1,0,2014,452
Maharashtra,0,3,2,0,2,1,0,2014,8
Maharashtra,4,65,1,85,34,1,0,2014,190
Maharashtra,6,43,0,180,53,1,0,2014,283
Maharashtra,2,25,0,47,17,1,0,2014,92
Maharashtra,3,28,0,200,33,1,0,2014,265
Maharashtra,17,87,11,383,85,1,0,2014,584
Maharashtra,6,88,4,131,63,1,0,2014,293
Maharashtra,5,43,3,117,21,1,0,2014,190
Maharashtra,1,98,0,73,65,1,0,2014,238
Maharashtra,5,38,3,251,27,1,0,2014,325
Maharashtra,20,189,1,391,124,1,0,2014,726
Maharashtra,1,2,0,0,2,1,0,2014,6
Maharashtra,13,147,41,219,102,1,0,2014,523
Maharashtra,2,47,3,54,27,1,0,2014,134
Maharashtra,0,34,0,26,8,1,0,2014,69
Maharashtra,6,66,0,108,48,1,0,2014,229
Maharashtra,4,97,0,188,69,1,0,2014,359
Maharashtra,0,12,0,4,8,1,0,2014,25
Maharashtra,3,39,8,52,30,1,0,2014,133
Maharashtra,2,97,0,122,72,1,0,2014,294
Maharashtra,13,215,0,351,246,1,0,2014,826
Maharashtra,3,75,2,103,36,1,0,2014,220
Maharashtra,1,62,5,98,28,1,0,2014,195
Maharashtra,5,33,0,113,22,1,0,2014,174
Maharashtra,12,108,3,301,135,1,0,2014,560
Maharashtra,279,3438,6,7696,2457,1,0,2014,13877
Manipur,0,9,0,3,8,1,0,2014,21
Manipur,0,0,0,0,0,1,0,2014,1
Manipur,0,5,7,0,3,1,0,2014,16
Manipur,0,0,0,0,0,1,0,2014,1
Manipur,1,20,0,8,17,1,0,2014,47
Manipur,0,20,0,14,36,1,0,2014,71
Manipur,0,1,0,0,1,1,0,2014,3
Manipur,0,0,2,0,4,1,0,2014,7
Manipur,0,19,4,16,51,1,0,2014,91
Manipur,0,1,5,0,1,1,0,2014,8
Manipur,1,75,5,41,121,1,0,2014,244
Meghalaya,0,3,0,0,0,1,0,2014,4
Meghalaya,0,3,0,1,8,1,0,2014,13
Meghalaya,0,3,0,3,4,1,0,2014,11
Meghalaya,0,4,0,1,1,1,0,2014,7
Meghalaya,0,11,5,10,9,1,0,2014,36
Meghalaya,0,10,4,1,2,1,0,2014,18
Meghalaya,0,11,1,0,0,1,0,2014,13
Meghalaya,0,14,0,26,7,1,0,2014,48
Meghalaya,1,12,2,0,0,1,0,2014,16
Meghalaya,0,19,10,0,1,1,0,2014,31
Meghalaya,0,28,0,0,6,1,0,2014,35
Meghalaya,1,118,32,42,38,1,0,2014,232
Mizoram,0,39,2,5,1,1,0,2014,48
Mizoram,0,22,38,0,1,1,0,2014,62
Mizoram,0,10,0,1,1,1,0,2014,13
Mizoram,0,9,0,0,0,1,0,2014,10
Mizoram,0,14,0,0,0,1,0,2014,15
Mizoram,0,10,0,2,0,1,0,2014,13
Mizoram,0,4,5,0,0,1,0,2014,10
Mizoram,0,12,0,0,0,1,0,2014,13
Mizoram,0,0,0,0,0,1,0,2014,1
Mizoram,0,120,3,8,3,1,0,2014,135
Nagaland,0,12,0,3,8,1,0,2014,24
Nagaland,0,1,6,0,0,1,0,2014,8
Nagaland,0,9,7,0,3,1,0,2014,20
Nagaland,0,1,0,0,0,1,0,2014,2
Nagaland,0,1,0,0,1,1,0,2014,3
Nagaland,0,1,5,0,0,1,0,2014,7
Nagaland,0,0,4,0,0,1,0,2014,5
Nagaland,0,1,1,0,0,1,0,2014,3
Nagaland,0,1,0,0,1,1,0,2014,3
Nagaland,0,0,0,0,0,1,0,2014,1
Nagaland,0,3,7,0,0,1,0,2014,11
Nagaland,0,30,2,3,13,1,0,2014,49
Odisha,4,44,8,30,66,1,0,2014,153
Odisha,2,110,6,380,182,1,0,2014,681
Odisha,7,56,0,80,41,1,0,2014,185
Odisha,0,30,0,118,36,1,0,2014,185
Odisha,24,63,0,168,98,1,0,2014,354
Odisha,19,56,0,47,106,1,0,2014,229
Odisha,2,24,3,14,30,1,0,2014,74
Odisha,27,58,5,28,85,1,0,2014,204
Odisha,27,72,2,104,103,1,0,2014,309
Odisha,21,66,0,155,119,1,0,2014,362
Odisha,1,32,4,23,14,1,0,2014,75
Odisha,11,43,0,45,59,1,0,2014,159
Odisha,3,19,1,9,16,1,0,2014,49
Odisha,13,85,44,79,97,1,0,2014,319
Odisha,26,37,2,119,68,1,0,2014,253
Odisha,49,73,38,52,116,1,0,2014,329
Odisha,9,42,0,51,21,1,0,2014,124
Odisha,12,101,0,125,154,1,0,2014,393
Odisha,4,54,0,35,32,1,0,2014,126
Odisha,32,48,0,217,81,1,0,2014,379
Odisha,11,103,8,65,80,1,0,2014,268
Odisha,22,39,0,37,74,1,0,2014,173
Odisha,4,94,0,46,69,1,0,2014,214
Odisha,4,19,4,16,11,1,0,2014,55
Odisha,32,139,0,270,126,1,0,2014,568
Odisha,7,23,4,23,33,1,0,2014,91
Odisha,1,73,1,93,97,1,0,2014,266
Odisha,5,26,1,91,42,1,0,2014,166
Odisha,32,68,0,176,123,1,0,2014,400
Odisha,0,59,4,121,64,1,0,2014,249
Odisha,4,73,1,139,67,1,0,2014,285
Odisha,10,81,0,44,63,1,0,2014,199
Odisha,4,18,1,29,23,1,0,2014,76
Odisha,0,0,6,1,2,1,0,2014,10
Odisha,0,1,4,0,3,1,0,2014,9
Odisha,12,49,5,84,35,1,0,2014,186
Odisha,441,1978,4,3114,2436,1,0,2014,7974
Punjab,6,31,0,53,83,1,0,2014,174
Punjab,0,31,2,27,25,1,0,2014,86
Punjab,3,30,0,37,34,1,0,2014,105
Punjab,5,56,0,74,49,1,0,2014,185
Punjab,3,34,6,150,56,1,0,2014,250
Punjab,1,49,2,106,77,1,0,2014,236
Punjab,5,111,2,158,246,1,0,2014,523
Punjab,1,24,0,16,10,1,0,2014,52
Punjab,4,26,2,28,15,1,0,2014,76
Punjab,4,52,0,59,28,1,0,2014,144
Punjab,3,55,3,45,17,1,0,2014,124
Punjab,0,1,4,0,0,1,0,2014,6
Punjab,2,26,0,47,19,1,1,2014,96
Punjab,7,43,0,93,52,1,1,2014,197
Punjab,2,31,4,32,34,1,1,2014,105
Punjab,3,29,4,58,29,1,1,2014,125
Punjab,3,23,2,38,37,1,1,2014,105
Punjab,3,14,1,30,41,1,1,2014,91
Punjab,5,22,0,39,8,1,1,2014,76
Punjab,0,29,2,27,29,1,1,2014,89
Punjab,1,29,9,26,26,1,1,2014,93
Punjab,4,11,5,80,6,1,1,2014,108
Punjab,4,38,2,175,51,1,1,2014,272
Punjab,2,21,1,37,33,1,1,2014,96
Punjab,7,57,0,85,46,1,1,2014,197
Punjab,5,59,0,74,75,1,1,2014,215
Punjab,2,20,0,35,14,1,1,2014,73
Punjab,5,29,11,52,36,1,1,2014,135
Punjab,90,981,4,1681,1176,1,1,2014,3934
Rajasthan,10,130,3,844,162,1,1,2014,1151
Rajasthan,33,299,0,720,247,1,1,2014,1301
Rajasthan,6,146,3,198,136,1,1,2014,491
Rajasthan,5,67,1,342,156,1,1,2014,573
Rajasthan,26,93,0,270,42,1,1,2014,433
Rajasthan,36,219,41,606,187,1,1,2014,1091
Rajasthan,8,54,3,965,109,1,1,2014,1141
Rajasthan,15,75,0,584,71,1,1,2014,747
Rajasthan,4,80,0,325,119,1,1,2014,530
Rajasthan,2,104,0,641,180,1,1,2014,929
Rajasthan,7,72,0,414,58,1,1,2014,553
Rajasthan,5,37,8,234,88,1,1,2014,374
Rajasthan,21,78,0,249,68,1,1,2014,418
Rajasthan,13,110,0,187,131,1,1,2014,443
Rajasthan,1,3,2,0,8,1,1,2014,16
Rajasthan,0,1,5,0,1,1,1,2014,9
Rajasthan,17,180,0,923,129,1,1,2014,1251
Rajasthan,11,135,3,599,72,1,1,2014,822
Rajasthan,8,73,6,313,126,1,1,2014,528
Rajasthan,4,42,0,296,104,1,1,2014,448
Rajasthan,13,80,0,256,128,1,1,2014,479
Rajasthan,8,56,7,210,90,1,1,2014,373
Rajasthan,13,92,0,336,118,1,1,2014,561
Rajasthan,5,10,0,48,10,1,1,2014,75
Rajasthan,9,43,0,183,57,1,1,2014,294
Rajasthan,11,138,0,524,153,1,1,2014,828
Rajasthan,12,79,2,361,89,1,1,2014,545
Rajasthan,2,25,4,218,28,1,1,2014,279
Rajasthan,0,46,5,165,49,1,1,2014,267
Rajasthan,6,43,5,210,43,1,1,2014,309
Rajasthan,14,49,0,214,84,1,1,2014,363
Rajasthan,3,100,0,538,137,1,1,2014,780
Rajasthan,2,60,0,271,75,1,1,2014,410
Rajasthan,8,102,0,516,110,1,1,2014,738
Rajasthan,21,107,5,516,161,1,1,2014,812
Rajasthan,12,202,4,322,142,1,1,2014,684
Rajasthan,6,48,1,290,72,1,1,2014,419
Rajasthan,0,70,0,297,83,1,1,2014,452
Rajasthan,14,79,2,405,149,1,1,2014,651
Rajasthan,4,51,10,276,62,1,1,2014,405
Rajasthan,5,52,0,316,75,1,1,2014,450
Rajasthan,8,229,32,723,312,1,1,2014,1306
Rajasthan,408,3759,2,15905,4421,1,1,2014,24497
Sikkim,0,16,38,4,9,1,1,2014,69
Sikkim,0,2,0,1,0,1,1,2014,5
Sikkim,0,15,0,0,2,1,1,2014,19
Sikkim,0,14,0,0,1,1,1,2014,17
Sikkim,0,0,0,0,0,1,1,2014,2
Sikkim,0,47,5,5,12,1,1,2014,71
Tamil Nadu,2,6,0,7,14,1,1,2014,31
Tamil Nadu,10,65,0,302,23,1,1,2014,402
Tamil Nadu,0,7,3,47,35,1,1,2014,94
Tamil Nadu,0,5,0,63,6,1,1,2014,76
Tamil Nadu,5,14,6,39,83,1,1,2014,149
Tamil Nadu,2,11,7,32,136,1,1,2014,190
Tamil Nadu,4,15,0,119,112,1,1,2014,252
Tamil Nadu,0,0,0,26,25,1,1,2014,53
Tamil Nadu,2,16,5,19,14,1,1,2014,58
Tamil Nadu,2,7,4,56,15,1,1,2014,86
Tamil Nadu,1,1,1,9,15,1,1,2014,29
Tamil Nadu,4,13,0,29,68,1,1,2014,116
Tamil Nadu,5,37,0,326,167,1,1,2014,537
Tamil Nadu,1,6,7,69,23,1,1,2014,108
Tamil Nadu,0,16,2,22,38,1,1,2014,80
Tamil Nadu,0,0,8,11,21,1,1,2014,42
Tamil Nadu,0,6,6,5,5,1,1,2014,24
Tamil Nadu,1,7,0,13,4,1,1,2014,27
Tamil Nadu,2,3,0,44,47,1,1,2014,98
Tamil Nadu,3,8,0,24,28,1,1,2014,65
Tamil Nadu,0,1,0,0,0,1,1,2014,3
Tamil Nadu,0,0,3,0,0,1,1,2014,5
Tamil Nadu,7,6,5,22,43,1,1,2014,85
Tamil Nadu,1,5,2,33,15,1,1,2014,58
Tamil Nadu,3,15,0,51,37,1,1,2014,108
Tamil Nadu,0,8,4,31,24,1,1,2014,69
Tamil Nadu,6,8,0,58,45,1,1,2014,119
Tamil Nadu,5,36,1,147,46,1,1,2014,237
Tamil Nadu,0,6,44,19,3,1,1,2014,74
Tamil Nadu,4,8,2,15,9,1,1,2014,40
Tamil Nadu,6,16,38,35,49,1,1,2014,146
Tamil Nadu,1,2,0,7,23,1,1,2014,35
Tamil Nadu,0,16,0,73,12,1,1,2014,103
Tamil Nadu,3,6,0,33,50,1,1,2014,94
Tamil Nadu,0,5,0,22,14,1,1,2014,43
Tamil Nadu,2,8,8,48,30,1,1,2014,98
Tamil Nadu,0,3,0,27,1,1,1,2014,33
Tamil Nadu,3,12,0,110,78,1,1,2014,205
Tamil Nadu,7,38,4,81,125,1,1,2014,257
Tamil Nadu,3,13,0,29,19,1,1,2014,66
Tamil Nadu,0,0,4,0,0,1,1,2014,6
Tamil Nadu,0,0,1,0,0,1,1,2014,3
Tamil Nadu,95,455,1,2103,1502,1,1,2014,4158
Telangana,16,42,0,384,39,1,1,2014,483
Telangana,48,139,4,1329,90,1,1,2014,1612
Telangana,22,126,1,1289,175,1,1,2014,1615
Telangana,34,66,0,737,85,1,1,2014,924
Telangana,18,102,1,530,62,1,1,2014,715
Telangana,30,169,6,209,50,1,1,2014,466
Telangana,34,60,4,346,35,1,1,2014,481
Telangana,23,126,5,262,36,1,1,2014,454
Telangana,25,36,4,658,27,1,1,2014,752
Telangana,10,51,0,192,34,1,1,2014,289
Telangana,0,2,2,0,1,1,1,2014,7
Telangana,17,41,0,218,44,1,1,2014,322
Telangana,12,19,0,215,33,1,1,2014,281
Telangana,289,979,6,6369,711,1,1,2014,8356
Tripura,1,34,2,41,5,1,1,2014,85
Tripura,9,32,2,135,22,1,1,2014,202
Tripura,0,0,0,0,0,1,1,2014,2
Tripura,8,15,2,25,4,1,1,2014,56
Tripura,6,26,0,79,12,1,1,2014,125
Tripura,1,19,3,86,11,1,1,2014,122
Tripura,4,20,4,94,8,1,1,2014,132
Tripura,1,24,0,50,11,1,1,2014,88
Tripura,3,69,0,192,29,1,1,2014,295
Tripura,33,239,4,702,102,1,1,2014,1082
Uttar Pradesh,87,77,4,389,347,1,1,2014,906
Uttar Pradesh,69,112,2,455,404,1,1,2014,1044
Uttar Pradesh,53,109,1,355,268,1,1,2014,788
Uttar Pradesh,11,20,0,41,58,1,1,2014,132
Uttar Pradesh,15,27,2,47,104,1,1,2014,197
Uttar Pradesh,23,35,9,224,107,1,1,2014,400
Uttar Pradesh,34,21,5,151,91,1,1,2014,304
Uttar Pradesh,34,42,2,158,144,1,1,2014,382
Uttar Pradesh,56,71,1,62,153,1,1,2014,345
Uttar Pradesh,14,35,0,90,86,1,1,2014,227
Uttar Pradesh,51,68,0,0,178,1,1,2014,299
Uttar Pradesh,24,21,0,95,89,1,1,2014,231
Uttar Pradesh,13,19,11,2,60,1,1,2014,107
Uttar Pradesh,39,71,4,96,109,1,1,2014,321
Uttar Pradesh,25,35,3,36,63,1,1,2014,164
Uttar Pradesh,74,76,0,139,316,1,1,2014,607
Uttar Pradesh,15,15,3,40,52,1,1,2014,127
Uttar Pradesh,26,80,1,0,164,1,1,2014,273
Uttar Pradesh,55,82,0,0,228,1,1,2014,367
Uttar Pradesh,20,26,41,113,68,1,1,2014,270
Uttar Pradesh,23,23,3,12,34,1,1,2014,97
Uttar Pradesh,31,35,0,6,114,1,1,2014,188
Uttar Pradesh,42,54,0,120,143,1,1,2014,361
Uttar Pradesh,31,30,0,104,122,1,1,2014,289
Uttar Pradesh,13,37,0,8,117,1,1,2014,177
Uttar Pradesh,39,19,8,121,126,1,1,2014,315
Uttar Pradesh,43,58,0,93,121,1,1,2014,317
Uttar Pradesh,55,61,0,146,245,1,1,2014,509
Uttar Pradesh,1,5,2,0,21,1,1,2014,31
Uttar Pradesh,35,54,5,198,150,1,1,2014,444
Uttar Pradesh,38,118,0,575,391,1,1,2014,1124
Uttar Pradesh,31,24,3,67,102,1,1,2014,229
Uttar Pradesh,28,37,6,12,126,1,1,2014,211
Uttar Pradesh,58,92,0,223,271,1,1,2014,646
Uttar Pradesh,26,29,0,42,55,1,1,2014,154
Uttar Pradesh,16,46,7,70,69,1,1,2014,210
Uttar Pradesh,40,39,0,140,162,1,1,2014,383
Uttar Pradesh,24,60,0,103,127,1,1,2014,316
Uttar Pradesh,30,12,0,41,54,1,1,2014,139
Uttar Pradesh,47,50,0,49,125,1,1,2014,273
Uttar Pradesh,33,28,2,119,84,1,1,2014,268
Uttar Pradesh,31,22,4,89,92,1,1,2014,240
Uttar Pradesh,35,20,5,144,151,1,1,2014,357
Uttar Pradesh,73,78,5,594,413,1,1,2014,1165
Uttar Pradesh,29,19,0,21,96,1,1,2014,167
Uttar Pradesh,27,14,0,86,81,1,1,2014,210
Uttar Pradesh,51,49,0,135,195,1,1,2014,432
Uttar Pradesh,31,22,0,50,136,1,1,2014,241
Uttar Pradesh,12,25,5,19,27,1,1,2014,90
Uttar Pradesh,52,68,4,1083,370,1,1,2014,1579
Uttar Pradesh,26,32,1,68,100,1,1,2014,229
Uttar Pradesh,14,22,0,22,52,1,1,2014,112
Uttar Pradesh,37,23,2,74,127,1,1,2014,265
Uttar Pradesh,48,73,10,267,158,1,1,2014,558
Uttar Pradesh,16,25,0,81,84,1,1,2014,208
Uttar Pradesh,53,93,32,520,293,1,1,2014,993
Uttar Pradesh,26,19,2,28,12,1,1,2014,89
Uttar Pradesh,36,89,38,403,166,1,1,2014,734
Uttar Pradesh,17,37,0,168,194,1,1,2014,418
